Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
14-July-2025,auth,610,577,0,12,5,16,,,11-July-2025,auth,610,570,0,19,5,16,,,10-July-2025,auth,610,574,0,15,5,16,,,09-July-2025,auth,610,573,0,16,5,16
14-July-2025,idrepo,414,313,0,3,78,20,,,11-July-2025,idrepo,410,309,1,16,84,0,,,10-July-2025,idrepo,410,309,1,16,84,0,,,09-July-2025,resident,1126,1068,1,57,0,0
14-July-2025,masterdata-ara,945,894,0,2,15,34,,,11-July-2025,masterdata-ara,945,894,0,2,15,34,,,10-July-2025,masterdata-ara,945,894,0,2,15,34,,,,,,,,,,
14-July-2025,masterdata-eng,945,922,0,1,0,22,,,11-July-2025,masterdata-eng,945,922,0,1,0,22,,,10-July-2025,masterdata-eng,945,922,0,1,0,22,,,,,,,,,,
14-July-2025,masterdata-fra,945,906,0,1,15,23,,,11-July-2025,masterdata-fra,945,906,0,1,15,23,,,10-July-2025,masterdata-fra,945,906,0,1,15,23,,,,,,,,,,
14-July-2025,masterdata-khm,945,793,0,137,15,0,,,11-July-2025,masterdata-khm,945,793,0,137,15,0,,,10-July-2025,masterdata-khm,945,793,0,137,15,0,,,,,,,,,,
14-July-2025,mimoto,315,0,0,315,0,0,,,11-July-2025,mimoto,315,0,0,315,0,0,,,10-July-2025,mimoto,315,0,0,315,0,0,,,,,,,,,,
14-July-2025,partner,509,329,134,34,0,12,,,11-July-2025,partner,509,329,134,34,0,12,,,10-July-2025,partner,509,329,134,34,0,12,,,,,,,,,,
14-July-2025,prereg,288,97,163,17,2,9,,,11-July-2025,prereg,288,97,163,17,2,9,,,10-July-2025,prereg,288,97,163,17,2,9,,,,,,,,,,
,,,,,,,,,,11-July-2025,resident,1126,1075,0,51,0,0,,,10-July-2025,resident,1126,1078,0,48,0,0,,,,,,,,,,
